title	tags
RT @MrOdanz: A Muslim group/client made a request for a Quran-themed cake.The baker made and delivered the cake and clients are happy.But…	['islam']
@TosinOlugbenga Islam coming from their does not mean their perfection in the religion. They might be the one who i… https://t.co/dHk5AA8Imy	['islam']
RT @AllahGreatQuran: Islam is simple, we make it difficult.	['islam']
RT @TarekFatah: Group of #Muslims in #Norway beat and rob a #Christian street preacher; threaten to kill him if he does not convert to #Isl…	['Muslims', 'Norway', 'Christian']
Yusuf loved my music!	['islam']
RT @anayaxposso: Before islam I didn’t recognise myself.. some of the things I was doing/saying. I bettered myself not only as an individua…	['islam', 'islam']
RT @_Sufy2: Muslims understand Islam than Christians, while Christians understand their religion than Muslims. Let's learn to tolerate each…	['religion', 'islam']
RT @WilliamDBurton: When Yusuf Islam heard my lyrics, he said, "Wow! You have something to say!"https://t.co/ckHUXcfuT4 https://t.co/vddYJ…	['islam']
RT @ByRakeshSimha: Indian American Congresswoman Pramila Jayapal introduces resolution condemning India. In contrast, no Muslim member of t…	['islam']
RT @TarekFatah: Group of #Muslims in #Norway beat and rob a #Christian street preacher; threaten to kill him if he does not convert to #Isl…	['Muslims', 'Norway', 'Christian']
RT @AtishbaazKhan: @CraigCons We must practically follow in the footsteps of the Prophet Muhammad (S.A.W) and try to be exemplary in our ch…	['islam']
RT @Andromeda_JY: Read an interesting tweet. If you remove islam from Turkey or Iran, the people will still remain Turks and Persians. They…	['islam', 'islam']
RT @DC_Draino: Fox anchor @PeteHegseth was suspended from Twitter for sharing the Pensacola shooter’s manifesto showing radical Islam motiv…	['islam']
RT @mujahidden95: Islam is perfect but a Muslim is not because he's a human.Attach his wrongdoings to him not his religion. https://t.co/…	['islam']
RT @thevijaymahajan: You say IslamI hear TerrorismYou say Love.I hear Love JihadYou say Raped &amp; Killed.I hear Islamic PiecefulsYou…	['islam']
RT @OmarMustie: Many of them hide under the guise of arewa twitter this, arewa twitter that to channel out their inner bigotry and hate tow…	['islam']
RT @thevijaymahajan: You say IslamI hear TerrorismYou say Love.I hear Love JihadYou say Raped &amp; Killed.I hear Islamic PiecefulsYou…	['islam']
RT @LadyLibertyInEx: NORWAY:Muslims beg Christian preacher for prayer,lure him to basement,threaten to kill him if he doesn’t convert t…	['islam']
@SirBilly_Bob @MOlgera85 @PoliticalKathy America was founded by Puritans seeking to escape the Catholic Churchs' ty… https://t.co/yQ7j8USyFv	['islam']
RT @DC_Draino: Fox anchor @PeteHegseth was suspended from Twitter for sharing the Pensacola shooter’s manifesto showing radical Islam motiv…	['islam']
RT @ByRakeshSimha: Indian American Congresswoman Pramila Jayapal introduces resolution condemning India. In contrast, no Muslim member of t…	['islam']
RT @ByRakeshSimha: Indian American Congresswoman Pramila Jayapal introduces resolution condemning India. In contrast, no Muslim member of t…	['islam']
RT @JulieReichwein1: Laura Loomer on Islam in America-Video https://t.co/bG6uSD4cRbPlz Support Loomer4Congress $$$PLEASE RETWEET	['islam']
RT @ShaykhAzhar: Pay attention to what you “like” on social media. If someone posts something that goes against the teachings of Islam, y…	['islam']
RT @shanu_sab: I lead no party; I follow no leader. I have given the best part of my life to careful study of Islam, it's law and polity, i…	['islam']
I never heard of this organization.... It seems like a very French thing though😏	['islam']
RT @MrOdanz: A Muslim group/client made a request for a Quran-themed cake.The baker made and delivered the cake and clients are happy.But…	['islam']
RT @MrOdanz: A Muslim group/client made a request for a Quran-themed cake.The baker made and delivered the cake and clients are happy.But…	['islam']
RT @anayaxposso: Before islam I didn’t recognise myself.. some of the things I was doing/saying. I bettered myself not only as an individua…	['islam', 'islam']
RT @brhodes: If Obama was still President, just imagine the media-amplified Republican outrage we would be hearing about not saying terrori…	['islam']
@SaddamKwaith @_Bharbiee Ranka dade if by "Halal relationship" you mean "dating" then that is Haram in Islam. Court… https://t.co/iUg5ponU9p	['islam']
RT @MrOdanz: So the Muslim(s) who made order for the cake are not Muslim enough abi? They don't know the tenets of Islam? It is a few une…	['islam']
After more than a decade of preaching in Mecca, Islam’s prophet had won over only some 100 followers Once, howe… https://t.co/hlIbzlDeX2	['islam']
RT @BEATBOX029: Are you minding them? Our gross problem has always been stagnancy, illiteracy and lack of exposure. When we conquer these,…	['islam']
RT @Andromeda_JY: Read an interesting tweet. If you remove islam from Turkey or Iran, the people will still remain Turks and Persians. They…	['islam', 'islam']
RT @AzzatAlsaleem: @Imamofpeace : Yezidis r the most who suffered from Islamists in 21 century when 7000 Yezidi Women/Children were enslave…	['islam']
RT @Andromeda_JY: Read an interesting tweet. If you remove islam from Turkey or Iran, the people will still remain Turks and Persians. They…	['islam', 'islam']
RT @AmyMek: UN Chief Says Islamic Terror is a Consequence of FEARING IslamOrganization of Islamic Cooperation docs revealed instructions…	['islam']
RT @AdnanAlHanafi: Islam is not restricted by race or ethnicity, you fool regurgitating Četnik propaganda. It is a universal religion for a…	['religion', 'islam']
@avdpune @AlphaByeah @boss_rg_ @gite_ramchandra @Iam_allinoah @CraigCons @haby2610 So, if you understand that. Why… https://t.co/y68a7j6Qvz	['islam']
RT @thevijaymahajan: You say IslamI hear TerrorismYou say Love.I hear Love JihadYou say Raped &amp; Killed.I hear Islamic PiecefulsYou…	['islam']
RT @BruceAlrighty45: Coming⤵️ to a neighborhood near you if we don’t stop Muslims immigrating.Must ban ALL Muslims &amp; start deporting. Man…	['islam']
@PalwashaKhan18 No to Zaheer Ul Islam?	['islam']
@PeteHegseth actually per the 1952 Warren Act, islam is incompatible with liberty and with the US Constitution. isl… https://t.co/gw64xwuhTB	['islam', 'islam']
RT @Andromeda_JY: Read an interesting tweet. If you remove islam from Turkey or Iran, the people will still remain Turks and Persians. They…	['islam', 'islam']
RT @BruceAlrighty45: Coming⤵️ to a neighborhood near you if we don’t stop Muslims immigrating.Must ban ALL Muslims &amp; start deporting. Man…	['islam']
RT @BITO_WALE: When we (Muslims) failed to address issue with Islam perspective, who will address it for us will never be a Muslim, and tha…	['islam']
RT @TarekFatah: Group of #Muslims in #Norway beat and rob a #Christian street preacher; threaten to kill him if he does not convert to #Isl…	['Muslims', 'Norway', 'Christian']
RT @AzzatAlsaleem: You have been reporting about Islamists crimes and Genocide crimes against Yezidis are the most.Since 5 yrs Yezidis hav…	['islam']
@MuslimsMatters Please also pray for the beleaguered Muslims of China. Families are broken apart and Muslims are fo… https://t.co/KFJnnkelA5	['islam']
RT @macv58: This is why we need an Amendment to the law and the right to free speech. https://t.co/eDyg3tWugu	['islam']
RT @akeula_trendy: Y'all are hypocrites. I won't say more than that.Let's call a spade a spade, if you don't know about Islam, stop debat…	['islam']
RT @TheMuslimsofIN: As a Muslim women living in India,there has always been one thing that made me uncomfortable,The statement that,women…	['islam']
RT @salamnuhu: Islam is not open to interpretation by anybody without sound knowledge of it...and Islam is not based on common sense, it is…	['islam']
@mad_davenport @rmlcoutinho "Consider bringing it to confession" so you're judging this man's actions as a sin? Is… https://t.co/i5wkAGyFnr	['islam']
RT @thevijaymahajan: You say IslamI hear TerrorismYou say Love.I hear Love JihadYou say Raped &amp; Killed.I hear Islamic PiecefulsYou…	['islam']
RT @safahmrx: May Allah swt guide him to islam🥺 https://t.co/iXJlFCgsCP	['islam']
RT @believingukhty: ""The more I see of the world. The more I silently whisper, Alhamdulillah for Islam.""	['islam']
RT @KhaledBeydoun: The Chinese government calls Islam a "mental illness."Its interment camps are more than just prisons.  But spaces desi…	['islam']
RT @WhatsRuku: This is beautiful and I’m surprised the BBC would even post such a video. It shows how small things like getting colleagues…	['islam']
RT @_Sufy2: Muslims understand Islam than Christians, while Christians understand their religion than Muslims. Let's learn to tolerate each…	['religion', 'islam']
@CamdenQ @LurkerInTheLoft @abeaube @NBCNews @NBCOUT Ah, you read it in a book. The same book shared with Islam. I… https://t.co/wi3P6e7NQO	['islam']
@TweeterWritterr @KhaledBeydoun @IlhanMN If you believe in the word LA ILAHA ILALLAH meaning THERE IS NO GOD WORTHY… https://t.co/WYPj60ARKK	['islam']
RT @ByRakeshSimha: Indian American Congresswoman Pramila Jayapal introduces resolution condemning India. In contrast, no Muslim member of t…	['islam']
RT @BarakahDeals: Don’t forget sa'at al istijabah (a time when du'a is answered) today.#Friday #Jumuah #JummahMubarak #Dua #Allah #Islam…	['Friday', 'Jumuah', 'JummahMubarak', 'Dua', 'Allah', 'Islam']
RT @ijaola_ibrahim: David Oyedepo, Mathew Ashimolowo, Johnson Suleman, TB Joshua and Tunde Bakare were all  Muslims.🚶...is it bcos Islam…	['islam']
RT @TosinOlugbenga: Islam is from the Middle East, so they are core Muslim countries &amp; they made these Quaran cakes. But some crass illit…	['islam']
RT @BruceAlrighty45: Coming⤵️ to a neighborhood near you if we don’t stop Muslims immigrating.Must ban ALL Muslims &amp; start deporting. Man…	['islam']
RT @bilalmahmooduk: This is the Caliph of Promised Messiah (as) spreading peace, tolerance, justice and compassion to the corners of the ea…	['islam']
RT @chincy_n: War and hate are the only things the virus called Islam has ever contributed to this planet ! It has no place in a civilized…	['islam']
Maher vs. Charlie Rose: To Claim Islam Is Like Other Religions Is Naive And Plain Wrong  https://t.co/NAejWVqGp7	['islam']
To all the Muslim twerking to those people,  just know that you're opening more doors for them to joke with Islam and disrespect Islam.	['islam']
RT @MrOdanz: Don't mind the clowns. You wan dey form gatekeeper of Islam and Northern Nigeria for Twitter. Who are you?  🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣…	['islam']
@abbasnasir59 The Fauj/Maulvis have made chu#!ya of Pakistanis from day one in the name of Islam khatre mein hai  &amp; Kashmir &amp; Afghanistan	['islam']
RT @BITO_WALE: When we (Muslims) failed to address issue with Islam perspective, who will address it for us will never be a Muslim, and tha…	['islam']
RT @mujahidden95: Islam is perfect but a Muslim is not because he's a human.Attach his wrongdoings to him not his religion. https://t.co/…	['islam']
RT @BEATBOX029: Are you minding them? Our gross problem has always been stagnancy, illiteracy and lack of exposure. When we conquer these,…	['islam']
RT @alislam: "In times of grief and despair, we will always be there to wipe away the tears of our neighbours and to support and comfort th…	['islam']
RT @ajitbhinder: Pramila Jayapal- May be a US congresswoman - but has not imbibed the moral strength of the American nation.She remains th…	['islam']
RT @BruceAlrighty45: Coming⤵️ to a neighborhood near you if we don’t stop Muslims immigrating.Must ban ALL Muslims &amp; start deporting. Man…	['islam']
RT @imasurvivor66: We have a problem in that anyone who speaks out about predominantly Pakistani Muslim grooming rape gangs, Islam, mass im…	['islam']
RT @Raajajii: True.You know why , because Islamophobia is SECULARISM has Global Market whereas Hinduphobia is for Communals Bhakts. In In…	['Sri Lanka']
RT @ARanganathan72: HALF A MILLION Sri Lankan Tamil Hindus are also excluded because Lanka is not mentioned in the #CitizenshipAmendmentBil…	['Sri Lanka']
RT @ARanganathan72: HALF A MILLION Sri Lankan Tamil Hindus are also excluded because Lanka is not mentioned in the #CitizenshipAmendmentBil…	['Sri Lanka']
RT @ZaidZamanHamid: Few people realize that 3 largest terrorist organizations in Asia, which have killed a million civilians, were all crea…	['Sri Lanka']
RT @ZaidZamanHamid: Few people realize that 3 largest terrorist organizations in Asia, which have killed a million civilians, were all crea…	['Sri Lanka']
RT @munza14: Seven months after the Easter Sunday terror attacks, Sri Lanka, recognized as @lonelyplanet's number 1 travel destination in 2…	['Sri Lanka']
RT @maumoonagayoom: 34 years ago today leaders of Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan and Sri Lanka signed the SAARC chart…	['Sri Lanka']
RT @AssaadRazzouk: Global Climate Risk Index: Countries Most Affected by Climate Change in 20181 Japan2 Philippines3 Germany4 Madagasc…	['Sri Lanka']
